datetime,membership,bike_id,checkout_id,checkin_id,duration
01-01-2018 00:39:02,year,709,2494,2563,6
01-01-2018 01:17:54,day,1000,2494,2548,416
01-01-2018 05:05:52,day,919,2539,2539,1
01-01-2018 09:17:24,year,871,2563,3621,8
01-01-2018 09:31:38,year,540,2499,2495,2
01-01-2018 10:19:10,day,78,3293,2563,14
01-01-2018 10:20:06,day,749,3293,2563,13
01-01-2018 10:55:07,day,191,2566,3377,9
01-01-2018 11:26:35,day,863,2572,2572,18
01-01-2018 11:27:53,day,991,3660,2572,37
01-01-2018 11:28:12,day,551,3660,2572,36
01-01-2018 11:31:08,day,749,2563,2707,48
01-01-2018 11:32:03,nan,198,3684,2503,10
01-01-2018 11:32:06,nan,341,3684,2503,10
01-01-2018 11:32:13,day,548,2563,2707,48
01-01-2018 11:32:41,day,640,2572,2572,12
01-01-2018 11:42:38,nan,663,2503,2503,0
01-01-2018 11:43:26,weekend,440,3619,2562,18
01-01-2018 11:46:35,weekend,182,3619,2562,15
01-01-2018 11:54:03,nan,3201,2504,3291,164
01-01-2018 11:54:05,nan,153,2504,3660,17
01-01-2018 11:55:07,nan,252,2504,3660,15
01-01-2018 11:55:09,nan,563,2504,3660,14
01-01-2018 12:08:31,weekend,349,2498,2497,11
01-01-2018 12:10:35,nan,854,3660,3660,0
01-01-2018 12:12:17,year,774,3685,2711,9
01-01-2018 12:16:26,day,394,2571,1007,11
01-01-2018 12:16:26,day,993,2494,2494,24
01-01-2018 12:17:19,day,320,2494,2494,22
01-01-2018 12:17:50,day,546,2571,1007,10
01-01-2018 12:42:25,day,861,2497,2497,38
01-01-2018 12:44:34,weekend,349,2497,2538,9
01-01-2018 12:51:58,day,862,2572,2711,21
01-01-2018 12:52:18,day,285,2572,2711,20
01-01-2018 13:03:50,weekend,349,2538,3685,17
01-01-2018 13:21:44,day,394,1007,2571,8
01-01-2018 13:22:29,day,546,1007,2571,7
01-01-2018 13:25:23,year,3212,3621,2822,15
01-01-2018 13:37:58,day,174,3619,3619,48
01-01-2018 13:38:35,day,920,3619,3619,46
01-01-2018 13:42:27,weekend,2048,2498,3685,28
01-01-2018 13:43:03,weekend,382,2498,3685,27
01-01-2018 13:54:48,month,180,3684,3684,1253
01-01-2018 14:20:54,nan,241,3635,3619,7
01-01-2018 14:20:57,nan,452,3635,3619,7
01-01-2018 14:27:27,day,976,2567,2542,31
01-01-2018 14:27:48,day,3,2567,2542,31
01-01-2018 14:28:02,month,2122,2498,2563,3
01-01-2018 14:47:48,weekend,116,3685,2575,22
01-01-2018 14:48:25,weekend,156,3685,2575,20
01-01-2018 15:05:11,weekend,349,3685,2498,15
01-01-2018 15:22:47,day,852,2566,2566,46
01-01-2018 15:24:46,day,571,2566,2566,44
01-01-2018 15:28:23,weekend,884,2575,2498,46
01-01-2018 15:28:59,weekend,460,2575,2498,46
01-01-2018 15:34:02,day,344,2501,2501,14
01-01-2018 15:36:44,year,871,3621,2501,3
01-01-2018 15:44:09,day,3113,2707,3684,42
01-01-2018 16:09:26,day,152,2566,2570,26
01-01-2018 16:10:19,day,571,2566,2570,25
01-01-2018 16:13:48,year,871,2501,3621,3
01-01-2018 16:33:40,year,369,2575,3377,10
01-01-2018 17:02:04,day,546,2571,3685,10
01-01-2018 17:02:46,day,394,2571,3685,10
01-01-2018 17:33:25,day,546,3685,2565,43
01-01-2018 17:33:59,day,394,3685,2565,43
01-01-2018 17:54:18,day,2828,2561,2561,368
01-01-2018 17:55:02,day,589,2561,2561,55
01-01-2018 17:55:42,day,254,2561,2561,55
01-01-2018 17:56:19,day,507,2561,2561,54
01-01-2018 17:58:36,day,287,2561,2561,52
01-01-2018 17:59:21,day,109,2561,2561,51
01-01-2018 20:52:52,day,370,2707,2707,49
01-01-2018 20:54:10,day,212,2707,2707,47
01-01-2018 20:54:52,day,398,2707,2707,48
01-01-2018 20:58:25,year,558,2552,2499,3
01-01-2018 21:19:53,year,928,3291,3619,6
01-01-2018 21:36:30,year,241,3619,2561,9
01-01-2018 22:37:14,year,558,2499,2552,3
01-02-2018 07:21:38,year,576,2566,3619,7
01-02-2018 07:24:07,year,2204,2498,2571,4
01-02-2018 07:43:55,year,849,2542,2494,8
01-02-2018 07:53:38,year,349,2498,2502,118
01-02-2018 07:55:27,month,327,2566,2495,5
01-02-2018 08:11:42,year,936,2567,3686,6
01-02-2018 08:13:22,month,278,2504,2494,9
01-02-2018 08:26:17,year,64,2822,2496,11
01-02-2018 08:26:51,year,924,3621,2496,6
01-02-2018 08:32:29,year,3,2542,2494,8
01-02-2018 08:39:41,month,134,2570,3619,9
01-02-2018 08:42:45,year,852,2566,3619,10
01-02-2018 09:00:59,year,746,2567,2495,8
01-02-2018 09:12:46,year,571,2570,2495,9
01-02-2018 09:29:45,year,979,2569,2562,6
01-02-2018 09:36:07,month,460,2498,3390,2
01-02-2018 09:38:05,month,2288,2496,2552,5
01-02-2018 10:18:39,month,2122,2563,2539,4
01-02-2018 10:41:45,nan,983,2572,2572,0
01-02-2018 10:47:46,nan,412,2574,2574,0
01-02-2018 10:48:45,nan,127,2574,2574,0
01-02-2018 11:01:59,nan,430,3687,3621,61
01-02-2018 11:02:17,weekend,460,3390,2574,26
01-02-2018 11:03:18,weekend,183,3390,2574,25
01-02-2018 11:11:15,year,174,3619,2501,4
01-02-2018 11:21:06,nan,995,2707,3621,41
01-02-2018 11:21:16,nan,97,2707,3621,41
01-02-2018 11:25:56,nan,470,2563,2563,1
01-02-2018 11:39:12,year,936,3686,2566,7
01-02-2018 11:47:46,weekend,884,2498,2501,9
01-02-2018 11:52:08,nan,627,2575,2501,7
01-02-2018 11:52:11,nan,116,2575,2501,7
01-02-2018 11:59:26,day,664,2822,2822,33
01-02-2018 11:59:36,nan,1932,2501,2501,0
01-02-2018 12:03:09,nan,430,3621,3621,0
01-02-2018 12:03:14,nan,871,3621,3621,0
01-02-2018 12:17:14,day,919,2539,2538,28
01-02-2018 12:18:08,day,885,2539,2538,27
01-02-2018 12:35:56,month,663,2503,3513,4
01-02-2018 12:42:46,year,4,2494,3619,10
01-02-2018 13:00:01,month,853,2567,2711,3
01-02-2018 13:02:21,weekend,174,2501,3621,7
01-02-2018 13:06:05,year,517,1007,2822,14
01-02-2018 13:21:04,day,190,2565,2540,20
01-02-2018 13:22:58,nan,180,3684,2568,57
01-02-2018 13:27:41,nan,35,3684,2569,27
01-02-2018 13:27:43,nan,529,3684,2569,26
01-02-2018 13:30:24,year,142,2570,1007,8
01-02-2018 14:18:53,month,171,2539,2539,35
01-02-2018 14:19:33,nan,105,2568,2568,0
01-02-2018 14:19:54,month,466,2711,2567,5
01-02-2018 14:28:27,day,969,2711,3377,33
01-02-2018 14:41:42,weekend,273,2541,2538,14
01-02-2018 14:42:33,weekend,236,2541,2538,13
01-02-2018 14:49:29,nan,327,2495,2495,1
01-02-2018 14:50:38,nan,327,2495,2495,1
01-02-2018 14:55:18,nan,174,3621,3621,0
01-02-2018 14:55:50,nan,871,3621,3621,2
01-02-2018 15:03:04,day,132,3377,2707,23
01-02-2018 15:04:37,nan,853,2711,2711,1
01-02-2018 15:26:11,month,429,1007,2707,7
01-02-2018 15:31:57,day,141,2707,3621,12
01-02-2018 15:36:44,month,197,3686,3686,1
01-02-2018 15:37:42,month,400,3686,2495,14
01-02-2018 15:44:26,year,936,2566,3686,6
01-02-2018 16:05:06,year,349,2502,2498,9
01-02-2018 16:07:56,year,2204,2571,2498,4
01-02-2018 16:13:54,month,979,2562,2498,3
01-02-2018 16:14:27,year,3281,2539,2542,6
01-02-2018 16:14:54,day,855,2562,3390,3
01-02-2018 16:19:55,weekend,885,2538,2498,14
01-02-2018 16:20:30,weekend,40,2538,2498,13
01-02-2018 16:44:19,year,920,3619,2822,9
01-02-2018 16:46:52,day,919,2538,2539,21
01-02-2018 16:47:19,day,625,2538,2539,20
01-02-2018 16:55:30,year,849,2494,3513,4
01-02-2018 17:08:22,year,102,2494,2542,9
01-02-2018 17:15:28,month,545,2495,3687,9
01-02-2018 17:22:01,year,852,3619,2566,7
01-02-2018 17:27:08,month,400,2495,2552,4
01-02-2018 17:38:53,month,3,2494,2570,9
01-02-2018 17:41:14,year,327,2495,2567,8
01-02-2018 17:42:52,year,472,2495,2570,10
01-02-2018 17:47:03,year,220,2496,2552,6
01-02-2018 17:50:12,month,696,3390,2566,9
01-02-2018 18:17:05,weekend,884,2501,2498,12
