idstation,lat1,lon1
15807,30.262,-97.726
15019,30.261,-97.738
14401,30.29,-97.749
16146,30.318,-97.722
14235,30.269,-97.751
15495,30.269,-97.731
13447,30.268,-97.764
14701,30.254,-97.744
14078,30.27,-97.754
14699,30.248,-97.744
14386,30.254,-97.748
16111,30.236,-97.722
16270,30.239,-97.72
14401,30.289,-97.748
16122,30.262,-97.722
14862,30.261,-97.742
15017,30.256,-97.739
14393,30.27,-97.748
16591,30.254,-97.716
14547,30.261,-97.747
16111,30.236,-97.722
16911,30.265,-97.71
14393,30.27,-97.749
14236,30.271,-97.75
14868,30.277,-97.742
15020,30.263,-97.738
17075,30.281,-97.709
16289,30.284,-97.719
15179,30.266,-97.736
14705,30.263,-97.744
15018,30.259,-97.739
16751,30.259,-97.712
15186,30.284,-97.737
14701,30.254,-97.744
14235,30.27,-97.75
14707,30.268,-97.743
14875,30.292,-97.741
14711,30.278,-97.743
14701,30.254,-97.745
15334,30.261,-97.734
14558,30.289,-97.746
13925,30.281,-97.757
14862,30.261,-97.741
14389,30.261,-97.749
16111,30.236,-97.722
14559,30.291,-97.746
14389,30.261,-97.749
14877,30.297,-97.742
13918,30.264,-97.756
15034,30.296,-97.739
17075,30.281,-97.709
15021,30.265,-97.74
14243,30.289,-97.751
15833,30.324,-97.727
14706,30.265,-97.745
14548,30.265,-97.747
14549,30.266,-97.746
14546,30.26,-97.747
15329,30.248,-97.735
15022,30.267,-97.739
14864,30.266,-97.742
14401,30.29,-97.748
15018,30.259,-97.739
15495,30.27,-97.731
13920,30.27,-97.756
14863,30.265,-97.742
16278,30.258,-97.72
16278,30.258,-97.72
14546,30.259,-97.747
14550,30.269,-97.745
14395,30.274,-97.748
14864,30.267,-97.741
14705,30.263,-97.744
14872,30.285,-97.742
14869,30.278,-97.742
14066,30.242,-97.753
14389,30.26,-97.747
14707,30.268,-97.743
16434,30.255,-97.718
14865,30.268,-97.741
16132,30.285,-97.723
14865,30.269,-97.741
13292,30.274,-97.764
14708,30.27,-97.745
14550,30.269,-97.746
14381,30.242,-97.75
14706,30.265,-97.745
16434,30.255,-97.717
14546,30.259,-97.747
15180,30.268,-97.736
15334,30.261,-97.735
14701,30.254,-97.744
14710,30.274,-97.743
14706,30.265,-97.743
13288,30.264,-97.764
13603,30.264,-97.76
14875,30.294,-97.742
15800,30.245,-97.726
14391,30.265,-97.749
15019,30.26,-97.738
15029,30.285,-97.74
13760,30.263,-97.759
13760,30.263,-97.759
15020,30.262,-97.738
16119,30.256,-97.722
15173,30.251,-97.736
14234,30.266,-97.752
14066,30.242,-97.754
14389,30.261,-97.749
15031,30.289,-97.739
14391,30.266,-97.748
13918,30.264,-97.755
15186,30.284,-97.737
14075,30.263,-97.754
15022,30.267,-97.739
15180,30.269,-97.736
14707,30.269,-97.743
14870,30.28,-97.74
14387,30.256,-97.748
12973,30.264,-97.771
15493,30.264,-97.733
15019,30.26,-97.739
14078,30.271,-97.754
14864,30.265,-97.742
14389,30.262,-97.749
15180,30.269,-97.736
12176,30.242,-97.781
15495,30.27,-97.731
14244,30.29,-97.75
13767,30.281,-97.758
14392,30.267,-97.748
13131,30.264,-97.766
16119,30.256,-97.722
13600,30.258,-97.76
15486,30.247,-97.732
15021,30.264,-97.739
15486,30.247,-97.732
15173,30.252,-97.737
13920,30.27,-97.756
15179,30.266,-97.736
16608,30.293,-97.716
15965,30.263,-97.725
15964,30.261,-97.725
15649,30.261,-97.731
13759,30.261,-97.758
14389,30.261,-97.747
15486,30.248,-97.733
15965,30.263,-97.725
15022,30.268,-97.739
13292,30.274,-97.764
17391,30.283,-97.703
14712,30.28,-97.744
14712,30.28,-97.744
15805,30.258,-97.728
15807,30.262,-97.726
15967,30.268,-97.724
15021,30.265,-97.738
14703,30.259,-97.744
14705,30.263,-97.744
14547,30.26,-97.746
15180,30.268,-97.736
17075,30.281,-97.709
17075,30.281,-97.709
14705,30.263,-97.745
17855,30.262,-97.696
14863,30.264,-97.741
13600,30.257,-97.759
13760,30.263,-97.759
14865,30.269,-97.742
13760,30.263,-97.759
14392,30.269,-97.748
14705,30.264,-97.744
15021,30.266,-97.74
16285,30.275,-97.72
15495,30.268,-97.732
14546,30.258,-97.746
13925,30.281,-97.757
14075,30.263,-97.754
14077,30.269,-97.753
15485,30.246,-97.731
15180,30.268,-97.737
13438,30.247,-97.762
17234,30.284,-97.705
15962,30.257,-97.724
14873,30.287,-97.742
14705,30.264,-97.744
14705,30.264,-97.744
14401,30.29,-97.748
14390,30.262,-97.747
15964,30.261,-97.725
15019,30.261,-97.738
15022,30.268,-97.738
13441,30.253,-97.764
15018,30.259,-97.739
13441,30.253,-97.764
16111,30.237,-97.723
14401,30.29,-97.748
13445,30.263,-97.763
15975,30.288,-97.725
15018,30.259,-97.739
15018,30.259,-97.739
12973,30.264,-97.77
14874,30.291,-97.741
14549,30.266,-97.746
13446,30.264,-97.761
15800,30.245,-97.726
14705,30.263,-97.744
13130,30.263,-97.766
14547,30.261,-97.745
14706,30.266,-97.743
15338,30.27,-97.734
13918,30.264,-97.756
13760,30.262,-97.757
14714,30.285,-97.743
15329,30.249,-97.735
14226,30.248,-97.75
14078,30.269,-97.753
14233,30.264,-97.749
14864,30.266,-97.74
13445,30.263,-97.763
14075,30.263,-97.753
16285,30.274,-97.72
14391,30.265,-97.749
14705,30.262,-97.744
13288,30.264,-97.764
13282,30.251,-97.765
15019,30.26,-97.738
14864,30.266,-97.741
14385,30.251,-97.749
13917,30.261,-97.755
13764,30.272,-97.757
14069,30.249,-97.753
14705,30.262,-97.743
14545,30.256,-97.746
14546,30.26,-97.745
15021,30.264,-97.74
14550,30.268,-97.745
14546,30.259,-97.746
14077,30.267,-97.752
14384,30.249,-97.749
13289,30.266,-97.765
15019,30.26,-97.738
14546,30.259,-97.746
13289,30.265,-97.765
15022,30.266,-97.738
14079,30.272,-97.752
13442,30.255,-97.762
14388,30.258,-97.748
14075,30.262,-97.754
15016,30.254,-97.738
13759,30.26,-97.758
13919,30.265,-97.755
14075,30.263,-97.754
13761,30.264,-97.757
13917,30.26,-97.755
12182,30.256,-97.782
14389,30.261,-97.749
12972,30.262,-97.769
15029,30.285,-97.739
13602,30.261,-97.759
14078,30.27,-97.754
14704,30.261,-97.743
14864,30.267,-97.74
14705,30.263,-97.745
15178,30.264,-97.738
15178,30.264,-97.737
17263,30.353,-97.704
14546,30.259,-97.746
15958,30.247,-97.724
15965,30.262,-97.724
14230,30.257,-97.75
14389,30.261,-97.749
14079,30.272,-97.754
14391,30.265,-97.749
16741,30.235,-97.714
13446,30.265,-97.764
14234,30.266,-97.749
14233,30.264,-97.751
15812,30.273,-97.726
14864,30.267,-97.74
14546,30.259,-97.746
12973,30.264,-97.77
13440,30.252,-97.763
14231,30.258,-97.75
15179,30.266,-97.738
14548,30.264,-97.745
13442,30.255,-97.761
13909,30.242,-97.756
14078,30.27,-97.754
15018,30.259,-97.738
13760,30.262,-97.758
14390,30.264,-97.748
15642,30.243,-97.729
14391,30.265,-97.748
14864,30.267,-97.74
14707,30.267,-97.742
13442,30.256,-97.762
14221,30.236,-97.751
12973,30.264,-97.771
14232,30.261,-97.751
15018,30.257,-97.739
14388,30.259,-97.747
14385,30.251,-97.749
14077,30.267,-97.752
13288,30.264,-97.764
14232,30.261,-97.75
13764,30.272,-97.757
13759,30.26,-97.758
15026,30.276,-97.738
14706,30.265,-97.742
15008,30.235,-97.739
14549,30.266,-97.745
14859,30.254,-97.742
