duration,Trip Distance,datetime,month,hour,checkout_kiosk_id
1482,3766,11/07/2018 17:00:00,7,17,13602
608,2157,11/07/2018 17:15:00,7,17,14865
1058,3502,06/10/2018 18:30:00,10,18,14863
420,1645,09/27/2018 05:30:00,9,17,14548
526,1722,11/07/2018 17:15:00,7,17,14707
501,950,11/07/2018 17:15:00,7,17,14557
433,2012,11/07/2018 17:15:00,7,17,14243
122,435,11/07/2018 17:30:00,7,17,15493
3879,1738,11/07/2018 17:30:00,7,17,14546
241,1191,11/07/2018 17:30:00,7,17,15021
360,400,08/28/2018 09:45:00,8,9,14075
780,738,03/10/2018 18:30:00,10,18,14547
420,240,09/16/2018 12:00:00,9,0,14546
675,2301,11/07/2018 17:30:00,7,17,14707
1018,5504,11/07/2018 17:30:00,7,17,15807
15,3,09/18/2018 12:30:00,9,12,13758
1693,6695,11/07/2018 17:45:00,7,17,13917
3236,5648,08/28/2018 05:45:00,8,17,14547
2386,3347,11/07/2018 17:45:00,7,17,14389
1634,5584,11/07/2018 17:45:00,7,17,13917
463,1883,11/07/2018 17:45:00,7,17,14865
1234,6341,11/07/2018 17:45:00,7,17,15962
379,2414,11/07/2018 18:00:00,7,18,14864
5248,4957,11/07/2018 18:00:00,7,18,15652
1854,4439,09/18/2018 08:30:00,9,8,13598
5244,4088,11/07/2018 18:00:00,7,18,15652
1269,1545,11/07/2018 18:30:00,7,18,13447
752,2655,11/07/2018 18:30:00,7,18,15493
120,0,08/25/2018 09:45:00,8,21,13600
294,1030,11/07/2018 18:30:00,7,18,15186
1915,5093,12/10/2018 18:30:00,10,18,13603
1166,4667,11/07/2018 18:30:00,7,18,13599
720,1462,02/09/2018 17:00:00,9,17,12973
2297,3943,11/07/2018 18:30:00,7,18,13917
718,917,11/07/2018 18:45:00,7,18,14714
646,1593,11/07/2018 19:00:00,7,19,16282
541,1674,11/07/2018 19:00:00,7,19,14865
625,2752,11/07/2018 19:15:00,7,19,16121
5345,6083,11/07/2018 19:15:00,7,19,15504
1320,2209,09/27/2018 02:45:00,9,14,14389
5268,2124,11/07/2018 19:45:00,7,19,14706
480,39,09/18/2018 05:45:00,9,17,13289
5279,2301,11/07/2018 19:45:00,7,19,14706
1867,7564,11/07/2018 19:45:00,7,19,14714
1122,1370,09/26/2018 09:45:00,9,9,14546
550,3154,11/07/2018 19:45:00,7,19,14864
994,5005,11/07/2018 20:00:00,7,20,13760
2186,4925,11/07/2018 20:15:00,7,20,13917
833,2285,11/07/2018 20:15:00,7,20,16442
180,565,08/09/2018 16:15:00,9,16,13445
2961,6598,11/07/2018 20:15:00,7,20,12820
1564,4393,11/07/2018 20:15:00,7,20,13917
811,982,11/07/2018 20:30:00,7,20,15504
966,1963,11/07/2018 20:45:00,7,20,15967
3469,24,01/09/2018 10:30:00,9,10,14865
1031,3959,11/07/2018 20:45:00,7,20,15834
1432,4989,11/07/2018 21:15:00,7,21,13916
87,134,09/21/2018 02:30:00,9,14,14385
539,1432,11/07/2018 21:15:00,7,21,15187
591,773,10/22/2018 04:45:00,10,16,14548
1356,4635,11/07/2018 21:15:00,7,21,15186
1179,3943,11/07/2018 21:15:00,7,21,15017
4818,9559,11/07/2018 21:15:00,7,21,13917
4842,9415,11/07/2018 21:15:00,7,21,13917
405,2462,11/07/2018 22:00:00,7,22,14559
1176,2446,11/07/2018 22:15:00,7,22,13924
180,0,07/10/2018 18:30:00,10,18,15329
1450,4989,11/07/2018 22:15:00,7,22,15819
386,1255,11/07/2018 22:30:00,7,22,15798
801,3090,11/07/2018 22:30:00,7,22,14232
240,11,10/27/2018 05:00:00,10,17,15179
371,1175,11/07/2018 22:45:00,7,22,16111
515,966,11/07/2018 23:30:00,7,23,16121
348,1014,11/07/2018 23:45:00,7,23,16121
359,1255,11/07/2018 23:45:00,7,23,13916
228,676,12/07/2018 02:15:00,7,2,15178
1093,5858,12/07/2018 06:15:00,7,6,15819
402,1336,12/07/2018 07:30:00,7,7,14702
822,3927,12/07/2018 07:45:00,7,7,14702
606,1674,12/07/2018 07:45:00,7,7,14401
1510,7821,12/07/2018 08:15:00,7,8,13441
1099,5488,12/07/2018 08:15:00,7,8,17075
591,2607,12/07/2018 08:15:00,7,8,15807
429,1867,12/07/2018 08:30:00,7,8,15807
840,530,08/28/2018 01:30:00,8,13,15021
3,36,09/13/2018 11:30:00,9,11,12973
609,1947,12/07/2018 08:45:00,7,8,14392
591,2462,12/07/2018 08:45:00,7,8,16436
486,1867,12/07/2018 09:00:00,7,9,15807
1511,5021,12/07/2018 09:30:00,7,9,14075
5,6,06/10/2018 16:00:00,10,16,14858
1908,5295,12/07/2018 09:45:00,7,9,15800
299,917,12/07/2018 10:00:00,7,10,15340
627,2237,12/07/2018 10:00:00,7,10,15334
465,1497,12/07/2018 11:15:00,7,11,14401
428,901,12/07/2018 11:30:00,7,11,15188
705,1159,12/07/2018 11:30:00,7,11,15187
3006,3734,12/07/2018 11:45:00,7,11,14710
535,2382,12/07/2018 11:45:00,7,11,15018
496,1481,12/07/2018 12:15:00,7,12,14706
3600,6330,09/30/2018 04:45:00,9,16,12973
359,22,09/26/2018 11:30:00,9,23,15178
240,0,07/10/2018 15:15:00,10,15,14389
2124,5263,12/07/2018 12:15:00,7,12,14402
650,20,09/28/2018 09:00:00,9,21,14388
1624,5102,12/07/2018 12:30:00,7,12,14557
439,1577,12/07/2018 12:45:00,7,12,14720
3051,10300,12/07/2018 12:45:00,7,12,14389
2083,2929,12/07/2018 13:00:00,7,13,16917
1657,3524,12/07/2018 13:30:00,7,13,17075
571,3959,12/07/2018 14:15:00,7,14,15017
895,3186,12/07/2018 14:15:00,7,14,15351
1688,4603,12/07/2018 14:15:00,7,14,14385
245,724,12/07/2018 14:15:00,7,14,14872
662,1819,12/07/2018 15:00:00,7,15,14243
358,702,08/31/2018 01:15:00,8,13,14073
648,271,03/09/2018 19:00:00,9,19,14385
1484,7580,12/07/2018 15:15:00,7,15,16751
2538,4538,12/07/2018 15:45:00,7,15,13762
60,122,09/25/2018 02:00:00,9,14,13918
600,4168,12/07/2018 15:45:00,7,15,14714
533,708,12/07/2018 15:45:00,7,15,16302
572,2237,12/07/2018 16:15:00,7,16,14865
746,2237,12/07/2018 16:15:00,7,16,14234
7545,4452,02/09/2018 14:30:00,9,14,14547
585,2044,12/07/2018 16:30:00,7,16,14865
333,805,12/07/2018 16:30:00,7,16,14401
240,744,03/10/2018 10:45:00,10,10,14077
420,1138,09/16/2018 07:15:00,9,19,14389
1068,5375,12/07/2018 16:30:00,7,16,14863
420,0,09/22/2018 11:45:00,9,23,15021
439,885,12/07/2018 16:30:00,7,16,14863
1450,4361,12/07/2018 16:45:00,7,16,15662
626,1706,12/07/2018 16:45:00,7,16,14865
471,15,10/21/2018 04:45:00,10,16,12816
1493,4474,12/07/2018 16:45:00,7,16,14863
4,2,08/31/2018 02:30:00,8,14,15179
1502,5842,12/07/2018 16:45:00,7,16,12973
540,1658,12/07/2018 17:00:00,7,17,14875
658,2881,12/07/2018 17:00:00,7,17,14234
702,2060,12/07/2018 17:00:00,7,17,14078
838,3283,12/07/2018 17:15:00,7,17,14707
2040,7387,12/07/2018 17:30:00,7,17,14549
120,32,09/16/2018 11:00:00,9,11,14235
909,2253,12/07/2018 17:30:00,7,17,14707
746,3009,12/07/2018 17:30:00,7,17,14391
1540,4780,12/07/2018 17:30:00,7,17,13293
1320,2379,01/10/2018 18:15:00,10,18,13919
1256,5295,12/07/2018 17:30:00,7,17,13293
3372,11072,12/07/2018 18:00:00,7,18,14701
1769,6824,12/07/2018 18:00:00,7,18,14392
1041,4748,12/07/2018 18:30:00,7,18,14706
682,3090,12/07/2018 18:45:00,7,18,14392
408,1497,12/07/2018 18:45:00,7,18,16434
1390,3412,12/07/2018 19:00:00,7,19,16119
547,3267,12/07/2018 19:15:00,7,19,15339
5602,2832,12/07/2018 19:30:00,7,19,14392
14467,24832,12/07/2018 19:30:00,7,19,16122
470,1416,12/07/2018 19:30:00,7,19,14862
1483,4104,12/07/2018 19:30:00,7,19,16111
918,4023,12/07/2018 19:45:00,7,19,16270
4785,2945,12/07/2018 19:45:00,7,19,14392
596,1770,12/07/2018 19:45:00,7,19,13925
1245,4426,12/07/2018 20:15:00,7,20,12820
2335,4410,12/07/2018 20:30:00,7,20,15019
4453,17156,12/07/2018 20:45:00,7,20,16287
517,1722,12/07/2018 21:00:00,7,21,16917
1207,2237,12/07/2018 21:15:00,7,21,14547
1428,0,09/10/2018 19:15:00,10,19,14705
1385,3524,12/07/2018 21:15:00,7,21,14070
