Vehicle Type,Trip Duration,duration,Trip Distance,datetime,End Time,month,hour,day ,Start District,End District,checkout_kiosk_id,checkin_kiosk_id,year,lat,lon,lat1,lon1,status
bicycle,177,2.95,310,10/27/2018 10:15:00,10/27/2018 10:30:00,10,10,6,9,9,14075,14075,2018,30.263,-97.754,30.263,-97.754,Active
bicycle,521,8.68,348,09/16/2018 02:00:00,09/16/2018 02:15:00,9,2,7,9,9,14387,14541,2018,30.255,-97.747,30.247,-97.747,Active
bicycle,900,15,2409,09-01-2018 17:45,09-01-2018 18:00,9,17,6,9,9,14078,14558,2018,30.27,-97.752,30.287,-97.746,Active
bicycle,321,5.35,7,09/24/2018 01:15:00,09/24/2018 01:15:00,9,13,1,3,3,15965,15965,2018,30.263,-97.725,30.263,-97.725,Active
bicycle,540,9,349,09/23/2018 01:30:00,09/23/2018 01:45:00,9,13,7,9,9,14864,14865,2018,30.266,-97.74,30.268,-97.741,Active
bicycle,480,8,0,09-07-2018 12:00,09-07-2018 12:00,9,12,5,9,9,13920,13920,2018,30.269,-97.754,30.269,-97.754,Active
bicycle,60,1,10,09/21/2018 10:15:00,09/21/2018 10:15:00,9,10,5,9,9,14078,14078,2018,30.27,-97.753,30.27,-97.754,Active
bicycle,1740,29,1204,09/22/2018 12:30:00,09/22/2018 01:00:00,9,12,6,9,9,14230,14551,2018,30.257,-97.75,30.271,-97.745,Active
bicycle,1956,32.6,6004,09-02-2018 16:00,09-02-2018 16:30,9,16,7,8,9,12819,14224,2018,30.272,-97.772,30.244,-97.751,Active
bicycle,780,13,9,09/29/2018 06:15:00,09/29/2018 06:30:00,9,18,6,9,9,13911,14073,2018,30.247,-97.757,30.259,-97.753,Active
bicycle,420,7,18,09/23/2018 10:00:00,09/23/2018 10:00:00,9,22,7,9,9,14233,14389,2018,30.265,-97.75,30.26,-97.748,Active
bicycle,6,0.1,0,09/26/2018 03:45:00,09/26/2018 03:45:00,9,15,3,9,9,14389,14389,2018,30.261,-97.749,30.261,-97.749,Active
bicycle,11,0.18,32,09/25/2018 11:00:00,09/25/2018 11:00:00,9,11,2,9,9,14080,14080,2018,30.276,-97.752,30.275,-97.753,Active
bicycle,720,12,521,09/29/2018 04:00:00,09/29/2018 04:15:00,9,16,6,9,9,13919,13919,2018,30.266,-97.755,30.267,-97.754,Active
bicycle,642,10.7,0,12/21/2018 01:00:00,12/21/2018 01:00:00,12,13,5,5,5,12338,12338,2018,30.253,-97.78,30.253,-97.78,Active
bicycle,120,2,468,12/21/2018 12:45:00,12/21/2018 12:45:00,12,12,5,5,5,13446,13760,2018,30.265,-97.761,30.262,-97.758,Active
bicycle,19,0.32,27,12/21/2018 12:45:00,12/21/2018 12:45:00,12,12,5,5,5,12338,12338,2018,30.253,-97.78,30.253,-97.78,Active
bicycle,1490,24.83,0,12/21/2018 01:00:00,12/21/2018 01:15:00,12,13,5,9,9,14389,14389,2018,30.261,-97.749,30.261,-97.749,Active
bicycle,480,8,0,09/17/2018 07:00:00,09/17/2018 07:15:00,9,19,1,9,9,15021,15021,2018,30.265,-97.74,30.265,-97.74,Active
bicycle,878,14.63,1619,08/28/2018 08:45:00,08/28/2018 09:00:00,8,20,2,9,5,13916,13918,2018,30.26,-97.754,30.264,-97.756,Active
bicycle,29834,497.23,2123,10-09-2018 02:45,10-09-2018 11:00,10,2,2,1,1,15966,16126,2018,30.266,-97.724,30.271,-97.723,Active
bicycle,6,0.1,0,10-06-2018 03:45,10-06-2018 03:45,10,3,6,9,9,14707,14707,2018,30.267,-97.742,30.267,-97.742,Active
bicycle,116,1.93,52,09/19/2018 12:30:00,09/19/2018 12:30:00,9,12,3,9,9,14389,14389,2018,30.261,-97.748,30.261,-97.748,Active
bicycle,60,1,220,09-04-2018 12:15,09-04-2018 12:15,9,12,2,5,5,13288,13288,2018,30.265,-97.764,30.264,-97.764,Active
