stationid,lat,lon
14234,30.266,-97.75
14078,30.27,-97.753
14707,30.268,-97.744
14549,30.267,-97.747
14235,30.269,-97.751
14707,30.268,-97.743
14391,30.265,-97.748
13293,30.276,-97.766
13919,30.267,-97.754
13293,30.276,-97.765
14701,30.254,-97.745
14392,30.268,-97.748
14706,30.265,-97.743
14392,30.268,-97.749
16434,30.254,-97.717
16119,30.256,-97.723
15339,30.273,-97.735
14392,30.268,-97.749
16122,30.262,-97.722
14862,30.261,-97.742
16111,30.236,-97.722
16270,30.239,-97.72
14392,30.268,-97.749
13925,30.281,-97.757
12820,30.275,-97.771
15019,30.262,-97.739
16287,30.28,-97.721
16917,30.281,-97.71
14547,30.261,-97.747
14705,30.263,-97.744
14070,30.251,-97.754
16911,30.265,-97.71
14401,30.29,-97.749
13912,30.25,-97.755
15021,30.266,-97.74
15177,30.262,-97.738
14558,30.289,-97.747
13759,30.261,-97.757
15018,30.259,-97.739
15810,30.269,-97.728
14865,30.268,-97.742
14393,30.271,-97.749
14861,30.26,-97.742
14389,30.261,-97.749
15334,30.261,-97.733
14875,30.292,-97.741
16272,30.243,-97.718
15660,30.287,-97.729
13283,30.252,-97.764
15347,30.291,-97.735
16289,30.284,-97.719
15493,30.264,-97.731
15188,30.287,-97.737
16146,30.318,-97.722
14706,30.265,-97.745
14235,30.27,-97.75
14225,30.246,-97.751
14546,30.26,-97.747
15019,30.262,-97.739
14549,30.266,-97.746
15022,30.267,-97.739
14077,30.269,-97.754
14707,30.268,-97.743
15493,30.264,-97.732
15019,30.261,-97.738
15177,30.262,-97.738
14392,30.268,-97.749
14392,30.268,-97.749
15965,30.263,-97.726
14401,30.29,-97.748
17075,30.281,-97.709
15019,30.26,-97.738
14551,30.271,-97.747
14066,30.241,-97.753
14719,30.296,-97.743
13766,30.277,-97.758
14386,30.252,-97.748
15807,30.262,-97.726
15810,30.269,-97.728
15495,30.27,-97.731
14714,30.284,-97.745
13767,30.28,-97.759
14718,30.294,-97.744
16285,30.275,-97.72
13920,30.269,-97.756
14224,30.243,-97.751
14386,30.254,-97.748
15334,30.26,-97.734
15021,30.265,-97.738
15180,30.268,-97.736
16434,30.254,-97.717
14701,30.254,-97.744
14710,30.274,-97.743
14706,30.265,-97.743
14548,30.265,-97.746
13602,30.261,-97.761
14712,30.28,-97.743
16115,30.245,-97.723
15662,30.291,-97.729
15017,30.255,-97.739
14243,30.289,-97.751
14706,30.265,-97.743
14548,30.265,-97.747
14706,30.265,-97.743
14877,30.297,-97.742
15329,30.249,-97.735
15962,30.257,-97.725
14706,30.265,-97.745
14389,30.261,-97.749
16132,30.285,-97.723
14241,30.284,-97.752
13918,30.264,-97.755
14558,30.289,-97.746
14389,30.261,-97.749
15180,30.27,-97.736
14707,30.268,-97.744
15329,30.248,-97.735
14549,30.266,-97.745
16907,30.257,-97.71
14546,30.259,-97.747
15021,30.265,-97.74
15807,30.262,-97.727
14066,30.242,-97.753
14389,30.261,-97.748
12973,30.264,-97.771
14707,30.268,-97.744
14558,30.289,-97.747
15022,30.267,-97.739
15029,30.285,-97.74
14078,30.271,-97.754
15493,30.264,-97.733
13131,30.264,-97.766
14391,30.265,-97.748
16119,30.256,-97.722
15021,30.265,-97.739
15021,30.264,-97.74
15021,30.265,-97.738
14705,30.262,-97.744
14550,30.269,-97.746
14708,30.27,-97.745
15179,30.266,-97.736
15179,30.266,-97.736
15337,30.268,-97.733
13292,30.274,-97.764
13757,30.255,-97.757
15493,30.263,-97.732
14550,30.269,-97.745
16277,30.256,-97.72
14872,30.285,-97.742
14708,30.27,-97.745
16281,30.266,-97.719
14393,30.27,-97.749
14393,30.27,-97.748
16591,30.254,-97.716
15019,30.262,-97.739
17391,30.283,-97.703
15021,30.265,-97.738
15017,30.255,-97.739
14387,30.256,-97.748
14547,30.26,-97.746
13767,30.281,-97.758
17075,30.281,-97.709
16917,30.281,-97.71
15019,30.26,-97.739
14077,30.267,-97.752
14391,30.265,-97.747
16593,30.259,-97.715
15486,30.247,-97.732
14389,30.26,-97.748
13760,30.263,-97.759
15967,30.268,-97.725
14702,30.255,-97.744
16111,30.236,-97.722
15180,30.27,-97.736
15026,30.277,-97.739
14068,30.247,-97.754
15180,30.269,-97.736
14075,30.263,-97.754
14392,30.268,-97.748
13760,30.263,-97.759
15018,30.259,-97.739
14707,30.268,-97.743
14559,30.291,-97.746
14391,30.266,-97.748
14244,30.291,-97.75
14712,30.28,-97.744
14712,30.28,-97.744
14873,30.287,-97.742
14389,30.261,-97.749
14864,30.266,-97.742
15337,30.268,-97.733
15964,30.261,-97.725
14705,30.263,-97.743
15485,30.246,-97.731
14705,30.264,-97.744
14391,30.266,-97.748
14716,30.29,-97.744
13445,30.264,-97.763
15180,30.27,-97.736
14705,30.264,-97.744
14705,30.264,-97.744
12973,30.264,-97.77
14559,30.29,-97.746
14546,30.259,-97.746
13446,30.264,-97.761
14546,30.259,-97.745
14705,30.263,-97.744
12973,30.264,-97.771
15173,30.251,-97.736
14070,30.251,-97.754
15338,30.27,-97.734
14389,30.261,-97.749
14706,30.266,-97.743
14714,30.285,-97.742
15328,30.247,-97.733
14385,30.25,-97.749
14389,30.261,-97.749
14546,30.258,-97.746
14549,30.266,-97.745
13445,30.263,-97.763
14545,30.258,-97.747
16285,30.274,-97.72
14391,30.265,-97.749
14390,30.264,-97.749
13288,30.264,-97.764
12808,30.247,-97.772
15018,30.258,-97.738
15021,30.266,-97.738
14232,30.261,-97.75
13917,30.261,-97.755
13764,30.272,-97.757
14225,30.245,-97.751
13069,30.493,-97.77
14544,30.254,-97.744
14705,30.264,-97.744
14553,30.276,-97.744
14548,30.265,-97.746
14544,30.255,-97.747
14077,30.267,-97.752
14385,30.251,-97.749
13289,30.265,-97.765
15019,30.26,-97.738
14384,30.248,-97.75
14078,30.27,-97.754
14707,30.267,-97.742
15019,30.262,-97.738
13600,30.257,-97.76
14390,30.262,-97.748
14075,30.262,-97.754
15016,30.254,-97.738
13442,30.256,-97.761
14389,30.261,-97.749
13917,30.261,-97.755
13603,30.264,-97.759
13917,30.26,-97.755
13602,30.262,-97.761
14075,30.262,-97.753
12972,30.262,-97.769
14874,30.289,-97.741
13442,30.255,-97.762
14078,30.27,-97.754
14706,30.265,-97.742
14547,30.261,-97.745
14549,30.266,-97.745
15177,30.262,-97.737
15021,30.265,-97.737
17263,30.353,-97.704
14384,30.248,-97.75
13441,30.254,-97.762
14388,30.258,-97.749
13445,30.264,-97.763
14389,30.261,-97.747
14079,30.272,-97.753
14389,30.26,-97.748
16742,30.237,-97.713
14076,30.265,-97.752
14234,30.266,-97.749
14548,30.263,-97.745
15179,30.265,-97.736
14865,30.269,-97.74
14546,30.259,-97.746
12973,30.264,-97.77
13439,30.248,-97.761
14391,30.266,-97.749
15179,30.266,-97.738
14548,30.264,-97.745
13442,30.255,-97.761
13907,30.238,-97.754
13293,30.276,-97.766
15018,30.259,-97.738
13760,30.263,-97.758
14861,30.26,-97.741
15021,30.264,-97.739
14391,30.265,-97.748
14547,30.261,-97.747
15180,30.269,-97.736
13442,30.256,-97.762
14230,30.258,-97.75
12973,30.265,-97.769
14075,30.262,-97.752
15017,30.257,-97.738
14546,30.259,-97.747
14385,30.251,-97.749
14077,30.267,-97.752
13288,30.264,-97.764
14232,30.261,-97.75
14079,30.272,-97.753
13442,30.255,-97.761
15026,30.277,-97.739
15174,30.253,-97.737
15008,30.235,-97.739
14864,30.266,-97.742
14859,30.254,-97.742
14232,30.261,-97.75
13445,30.264,-97.763
14545,30.258,-97.746
15178,30.264,-97.737
12821,30.277,-97.772
14862,30.26,-97.741
14389,30.261,-97.748
14389,30.261,-97.749
14705,30.263,-97.743
15171,30.247,-97.735
13600,30.257,-97.76
13918,30.264,-97.756
13918,30.264,-97.755
14078,30.271,-97.754
13918,30.264,-97.756
15022,30.267,-97.739
14230,30.257,-97.749
14706,30.265,-97.743
15021,30.264,-97.738
14550,30.269,-97.746
14869,30.278,-97.742
13442,30.256,-97.762
14549,30.266,-97.746
15021,30.264,-97.74
12973,30.264,-97.771
14226,30.248,-97.75
15021,30.265,-97.74
15018,30.258,-97.738
14864,30.265,-97.741
14077,30.268,-97.753
16121,30.26,-97.722
15007,30.233,-97.739
14701,30.254,-97.744
14389,30.261,-97.747
15019,30.26,-97.738
14390,30.264,-97.749
14226,30.247,-97.75
14859,30.255,-97.742
14864,30.266,-97.741
12973,30.264,-97.771
15329,30.248,-97.735
14546,30.259,-97.746
13602,30.262,-97.761
16281,30.266,-97.72
14385,30.252,-97.748
15021,30.264,-97.74
13919,30.267,-97.754
14705,30.262,-97.744
15807,30.262,-97.726
15964,30.261,-97.725
14546,30.259,-97.747
14385,30.251,-97.748
15493,30.264,-97.733
14863,30.263,-97.74
14223,30.241,-97.75
14230,30.258,-97.749
14232,30.263,-97.75
14863,30.263,-97.74
14078,30.27,-97.753
13289,30.265,-97.765
15020,30.262,-97.738
14705,30.263,-97.743
13596,30.248,-97.761
14548,30.264,-97.745
13289,30.266,-97.765
14561,30.296,-97.745
13913,30.253,-97.755
14388,30.258,-97.748
14389,30.26,-97.749
14705,30.263,-97.743
14705,30.264,-97.744
14864,30.265,-97.74
14864,30.267,-97.74
12969,30.253,-97.769
14546,30.259,-97.747
14234,30.266,-97.751
14079,30.272,-97.753
14389,30.26,-97.749
13442,30.255,-97.761
14075,30.263,-97.754
14235,30.268,-97.751
13442,30.255,-97.762
13130,30.263,-97.766
14076,30.265,-97.752
14392,30.267,-97.747
15493,30.264,-97.731
14389,30.261,-97.748
12973,30.264,-97.77
14704,30.261,-97.743
14869,30.279,-97.741
12651,30.247,-97.775
13602,30.262,-97.761
14863,30.264,-97.741
12657,30.261,-97.774
13918,30.263,-97.756
14549,30.267,-97.745
14389,30.261,-97.749
14874,30.291,-97.741
12977,30.274,-97.77
15018,30.258,-97.738
17397,30.298,-97.704
14705,30.263,-97.743
14236,30.27,-97.751
15022,30.267,-97.74
14548,30.264,-97.745
14706,30.265,-97.745
14864,30.267,-97.741
14547,30.261,-97.747
12344,30.266,-97.779
14705,30.262,-97.744
13441,30.253,-97.763
15179,30.267,-97.736
13437,30.245,-97.763
13430,30.227,-97.762
13130,30.263,-97.766
